BTC,NFLX
106.25,30.415714
98.099998,30.641428
112.900002,30.492857
109.599998,30.098572
113.199997,29.464285
112.800003,29.801428
117.699997,30.915714
115.639999,31.098572
111.400002,32.76857
114.220001,33.424286
118.209999,34.771427
123.5,33.861427
123.209999,34.142857
122.889999,34.221428
123.800003,33.869999
126.300003,32.651428
133.100006,32.311428
131.990005,32.677143
132.25,30.598572
128.800003,30.762857
128.820007,31.808571
129.300003,32.32143
121.400002,31.709999
121.900002,32.187141
118.970001,31.922857
111,31.105715
107.889999,31.459999
109,31.561428
108.779999,30.637142
103.949997,29.662857
100,30.77
99.800003,30.57
107.349998,32.747143
108.25,32.689999
111.290001,33.187141
109.5,31.931429
108.199997,30.985714
103.330002,30.799999
104,30.414286
101.739998,30.299999
94.660004,30.709999
95,30.155714
90.410004,32.040001
78.889999,31.637142
80.040001,31.558571
69.660004,32.157143
76.699997,33.299999
88,35.34
88.980003,34.831429
93.989998,34.881428
98.32,36.751427
97.099998,36.854286
98.5,37.21143
90.07,38.274284
92,38.058571
89.82,37.797142
95.559998,37.422855
95.089996,35.751427
96.949997,34.471428
96.019997,35.248573
94.400002,35.187141
107.959999,34.994286
106.209999,34.822857
104,34.925713
104.5,35.58857
104.949997,35.168571
106.559998,36.262856
105.989998,36.557144
103.050003,35.601429
102.800003,35.771427
103,36.107143
109.599998,36.657143
112.559998,37.027142
109.989998,37.401428
108.989998,36.201427
112.75,36.98143
121.199997,37.111427
123.300003,39.041428
122,38.624287
118.510002,38.535713
119.599998,39.765713
131.289993,40.388573
128.759995,39.434284
129.300003,40.48
138.029999,41.121429
141,40.558571
132.509995,41.285713
130.199997,41.775715
121.900002,42.158573
128.990005,41.648571
132.619995,42.021427
142.100006,44.722858
139.350006,44.042858
140.660004,43.058571
136.710007,43.664288
139.149994,43.165714
140.410004,42.792858
135.050003,43.845715
133.809998,43.642857
134.380005,44.832859
134.779999,43.148571
135,43.784286
137.100006,43.877144
138.929993,44.787144
142.5,44.628571
140.300003,44.172855
123,46.374287
130.990005,47.247143
136.820007,45.959999
136.699997,46.751427
136.490005,45.451427
139.5,43.188572
140.410004,41.204285
140.100006,43.427143
142.889999,42.978573
158.089996,46.337143
152.820007,45.955715
157.589996,46.125713
168.279999,47.157143
183.149994,47.642857
202.990005,50.712856
227.970001,46.074287
206.979996,47.177143
197.880005,47.317142
188.559998,46.861427
206.899994,44.857143
216,46.757141
208,45.44857
211.169998,46.068573
213.429993,47.03857
238.160004,48.228573
251.300003,48.785713
264.100006,47.947144
309.649994,46.694286
355,47.842857
362.980011,48.272858
380.040009,47.675713
434.850006,47.897144
433.399994,48.938572
433.920013,49.965714
785.429993,48.824287
645.690002,48.184284
637.969971,48.502857
764.909973,49.785713
802,49.692856
829.98999,50.034286
969.960022,50.742859
1079.890015,51.784286
1206.930054,52.257141
1096.560059,51.988571
1154.859985,51.848572
1237.550049,50.895714
1106.349976,51.151428
845.02002,50.634285
918.950012,50.810001
1033.719971,51.871429
919.929993,51.997143
899.97998,53.332859
936.77002,52.709999
759.919983,52.330002
714.969971,53.552856
540.97998,53.748573
731.950012,53.82
649.960022,53.667141
713.23999,54.368572
702.75,54.055714
801.97998,53.847141
803.049988,52.5
804.830017,52.427143
805.940002,52.595715
856.909973,51.831429
884.26001,51.871429
1012.650024,51.367142
879.900024,48.5
938.840027,48.712856
936.950012,48.150002
957.76001,47.44857
922.909973,48.115715
919.280029,48.279999
941.219971,47.197144
913.48999,47.382858
894.159973,47.148571
962.210022,46.958572
950.950012,47.675713
944.159973,55.531429
916.549988,55.154285
943.539978,54.46143
932.679993,58.110001
925.669983,57.202858
941.390015,57.810001
938.849976,58.475716
931.710022,57.76857
926.640015,57.987144
904.52002,57.774284
828.869995,58.272858
695.650024,61.425713
582.630005,61.491428
578.960022,61.998573
531.130005,61.275715
451.440002,62.364285
427.679993,62.215714
293.950012,62.407143
261.529999,61.175713
111.919998,62.135715
111.559998,61.747143
174,63.857143
135.779999,64.718575
593.140015,64.112854
596.48999,64.604286
573.940002,63.66143
662.179993,63.655716
661.849976,64.997147
658.299988,64.785713
648.26001,64.358574
616.72998,64.052856
612.969971,62.849998
608.690002,62.497143
619.429993,62.368572
625.039978,61.437141
614.030029,60.64143
606.380005,60.388573
598.929993,60.035713
594.960022,60.012856
565.98999,60.610001
549.599976,57.998573
567.559998,54.128571
562.890015,52.977142
562.450012,53.182858
460.450012,52.025715
482.609985,51.267143
463.450012,50.290001
424.369995,52.098572
436.309998,51.84
444.359985,50.669998
456.630005,48.187141
466.559998,48.285713
457.339996,49.841427
384.630005,50.432858
435.140015,47.818573
437.649994,46.672855
526.429993,47.368572
536.950012,46.610001
502,47.344284
485.519989,49.39143
487.910004,49.784286
487.299988,53.271427
500.290009,50.5
464.48999,49.152859
457.869995,46.011429
446.119995,44.887142
445.630005,45.695713
460.130005,46.005714
453.670013,48.074287
438.649994,48.664288
432.190002,49.197144
446.549988,46.598572
441.109985,45.791428
445.450012,45.951427
451.899994,46.935715
433.920013,49.349998
442.630005,49.591427
448.100006,50.26857
453.630005,49.169998
452.790009,49.982857
484.570007,52.07143
488.839996,53.095715
515.359985,55.799999
518.090027,55.971428
520.460022,57.478573
570.840027,56.972858
564.419983,57.32
612.349976,59.314285
627.909973,59.689999
669.429993,60.294285
638.929993,59.652859
660.179993,60.458572
